cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-35453,full,fd5102f5-e07d-4db1-9823-5d4c2bff483d,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,36435,7079,0.0,14.47,100.985
CVE-2026-35453,no_rag,76e46d36-b2be-4470-a125-9192c5a4340d,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18285,10735,0.0,10.853,96.867
CVE-2026-35453,no_bon,2864a03c-a43e-477a-91c5-d711da8ce0b3,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7285,1285,0.0,2.828,66.806
CVE-2026-7202,full,064e48d1-02a5-4648-8720-3700b22c9e31,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33280,6299,0.0,13.1335,101.551
CVE-2026-7202,no_rag,c23d5a1a-0e72-4a57-a394-c3875218c572,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18260,7512,0.0,9.234,88.534
CVE-2026-7202,no_bon,7655225a-ea45-4ddf-b52b-87b6c16719c8,completed,0.954286,0.76,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6657,1827,0.0,2.9106,78.118
CVE-2025-33124,full,2e652af3-bea8-414d-8ff2-7f3590e1651f,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,26110,5961,0.0,10.8135,87.116
CVE-2025-33124,no_rag,58ac8871-5325-44c3-ace2-8d9af7e7f1fe,completed,0.873333,0.96,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18275,11024,0.0,10.9945,110.716
CVE-2025-33124,no_bon,a4fe1c37-a10d-4a9d-9ee5-3ec91e6d5f46,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5206,1209,0.0,2.1663,61.957
CVE-2026-43685,full,ad8f4ec3-be9b-4f66-9ea7-fb62829ed7ae,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33590,6821,0.0,13.4875,97.824
CVE-2026-43685,no_rag,b542e2e9-cd38-4b45-adcc-2d5253b78784,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18210,6563,0.0,8.7445,75.347
CVE-2026-43685,no_bon,efa78c22-f06b-48d9-a1f5-cabab52a8754,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6720,817,0.0,2.4245,64.299
CVE-2026-6066,full,7c05f249-614c-47c9-b18c-799979684ee4,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31385,5681,0.0,12.256,91.554
CVE-2026-6066,no_rag,7e537235-38cb-43d6-9216-dc0f1d79d913,completed,0.869524,0.94,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18195,5934,0.0,8.4255,75.111
CVE-2026-6066,no_bon,17ac7cc7-6dd9-4062-890e-7d6b714ea51c,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6273,1271,0.0,2.5174,60.768
CVE-2026-7271,full,0b22efe9-bf44-42c0-b8ce-7ffb47372821,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31310,6816,0.0,12.801,97.392
CVE-2026-7271,no_rag,f16fea3b-319f-493d-a073-7941ef1c495d,completed,0.877143,0.98,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18180,5457,0.0,8.1825,77.801
CVE-2026-7271,no_bon,629fedd6-dfc7-43cb-be41-4afb3288cff4,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6273,942,0.0,2.3529,64.28
CVE-2026-5779,full,42560a1a-2cff-48cf-9b87-1f2037c32f21,completed,0.982857,0.91,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,29885,5123,0.0,11.527,90.095
CVE-2026-5779,no_rag,57a34b1d-789a-4f90-b7b0-4f80ba6e8880,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18240,6969,0.0,8.9565,84.298
CVE-2026-5779,no_bon,f04731ae-ef6c-416e-8666-fb6b367c0df1,completed,0.922857,0.82,1,1,1,1,0.7,1.0,1,1,1,1,selected,,,,5975,1616,0.0,2.6005,74.685
CVE-2026-4394,full,e8997004-1af9-48bc-a9eb-b53d36e7a6d3,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31725,6346,0.0,12.6905,88.124
CVE-2026-4394,no_rag,69cdd443-e4c3-41d0-b831-c173735e416c,completed,0.869524,0.94,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18245,8506,0.0,9.7265,89.903
CVE-2026-4394,no_bon,4ddee1b6-f5d2-48c0-be18-a8e186ed374b,completed,0.939048,0.68,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6337,1267,0.0,2.5346,75.473
CVE-2026-22044,full,2b19e285-cc2b-443d-bdcd-b8333906ca6c,completed,0.992381,0.96,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,29070,5503,0.0,11.4725,88.886
CVE-2026-22044,no_rag,21e81c8d-db32-44fd-b574-f01e09b1ad06,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18180,9940,0.0,10.424,110.598
CVE-2026-22044,no_bon,2a086377-7060-40fd-ad3f-efb4c9bb5d3c,completed,0.950476,0.74,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5808,1134,0.0,2.3094,67.686
CVE-2026-39378,full,e8d480bb-2804-40ee-8815-f99161ed0364,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31170,5720,0.0,12.211,91.058
CVE-2026-39378,no_rag,5c9b4d7b-1e33-40b9-b9a5-457307bd0288,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18175,7080,0.0,8.9925,82.68
CVE-2026-39378,no_bon,84376468-2d7a-4177-807e-967592133a90,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6241,894,0.0,2.3193,64.828
CVE-2026-8850,full,2e121719-4a3f-49ff-98c0-3400eb0f9e48,completed,0.938095,0.9,1,1,1,1,0.7,1.0,1,1,1,1,selected,,,,32940,6537,0.0,13.1505,106.142
CVE-2026-8850,no_rag,cd44fba0-f52f-4aed-97b6-84059f1f8123,completed,0.875238,0.97,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18195,5676,0.0,8.2965,78.542
CVE-2026-8850,no_bon,aebccf0b-ebc5-4a89-8ef7-b1505c7465c8,completed,0.85619,0.62,1,1,1,1,0.7,0.7,1,1,0,1,selected,,,,6609,1356,0.0,2.6607,71.417
CVE-2026-3546,full,4e1a1fdb-70bb-45cb-824b-523d6eb6dc36,completed,0.988571,0.94,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33410,6812,0.0,13.429,106.358
CVE-2026-3546,no_rag,a1d5f7df-bafc-4594-8988-b95005b6df2a,completed,0.869524,0.94,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18305,9150,0.0,10.0665,101.044
CVE-2026-3546,no_bon,80337253-ee01-4101-aaf8-ac6552c4f762,completed,0.928571,0.85,1,1,1,1,0.7,1.0,1,1,1,1,selected,,,,6682,1393,0.0,2.7011,66.497
CVE-2026-8253,full,818e6936-e744-430a-840e-38d59c32e6b0,completed,0.99619,0.98,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,36065,6238,0.0,13.9385,97.722
CVE-2026-8253,no_rag,473c9997-ef0b-4888-b268-bf5e9a84f07a,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18195,8530,0.0,9.7235,93.667
CVE-2026-8253,no_bon,19a52d87-3947-4e84-a875-5cac905f9be5,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7188,2099,0.0,3.2059,73.058
CVE-2026-5311,full,fb533f5b-6323-4585-ab8c-9acc9c0ae218,completed,0.979048,0.89,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30620,4278,0.0,11.325,90.732
CVE-2026-5311,no_rag,95c19481-31eb-4c8a-8bdd-a6f008fb4365,completed,0.869524,0.94,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18185,7794,0.0,9.3525,86.609
CVE-2026-5311,no_bon,d246179d-4657-43b2-b427-00624ba2bdf7,completed,0.96,0.79,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6126,1331,0.0,2.5033,70.26
CVE-2024-44166,full,3cf4beb1-29aa-4c5f-a618-fa1aea65a73e,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30755,5522,0.0,11.9875,94.343
CVE-2024-44166,no_rag,2d05c831-0193-41b3-83b2-933d7157edc3,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18170,6104,0.0,8.503,81.386
CVE-2024-44166,no_bon,69a2fbf6-e868-44ab-8740-655c6f622c28,completed,0.891429,0.73,1,1,1,1,1.0,0.4,1,1,0,1,selected,,,,6163,1009,0.0,2.3534,71.971
CVE-2026-35660,full,b4998b48-6568-42a4-afb4-d3e2ecf9abe1,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28860,4353,0.0,10.8345,78.944
CVE-2026-35660,no_rag,8889b57b-e240-4359-94b7-1b6c171f5a2b,completed,0.867619,0.93,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18240,6055,0.0,8.4995,82.782
CVE-2026-35660,no_bon,270549f5-9d03-4dc7-8b8a-84f56a901f1e,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5771,773,0.0,2.1178,59.003
CVE-2026-9022,full,0d6cd9d0-0b84-4eee-b2a8-93cbe0e8dfca,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,36340,5545,0.0,13.6745,93.421
CVE-2026-9022,no_rag,d82d6b34-3979-4678-9f84-cf941d665139,completed,0.86,0.89,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18250,8830,0.0,9.89,93.381
CVE-2026-9022,no_bon,0b1970f5-7c08-4091-9e48-a29e4ca49f9f,completed,0.971429,0.85,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7269,1546,0.0,2.9537,75.512
CVE-2026-8216,full,0af70ca3-8930-4920-bdb1-2980a5b031c0,completed,0.921905,0.74,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,33810,5100,0.0,12.693,94.319
CVE-2026-8216,no_rag,5bfcdf12-5af3-4725-92bf-dd19fca55293,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18265,8427,0.0,9.693,97.012
CVE-2026-8216,no_bon,8e852240-4dc0-4af2-ae66-a015bf792b8e,completed,0.944762,0.86,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,6768,879,0.0,2.4699,68.396
CVE-2026-49017,full,a377206d-9d4e-48ea-8f4c-b500518959e6,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33825,6792,0.0,13.5435,104.561
CVE-2026-49017,no_rag,aa9efd18-c7ed-4989-b604-6d1f03f69f85,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18275,6774,0.0,8.8695,78.013
CVE-2026-49017,no_bon,4458f012-dced-4d27-b0b4-98f230ed49d3,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6786,1365,0.0,2.7183,69.095
CVE-2018-25249,full,4de95ebc-55cd-4eba-91ac-635b30e1c672,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32550,7668,0.0,13.599,101.118
CVE-2018-25249,no_rag,5a3ed259-11d7-4956-b131-5da64f678285,completed,0.867619,0.93,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18380,7324,0.0,9.176,89.794
CVE-2018-25249,no_bon,8f1ad9f9-4c78-40e5-93c5-0e5b1493508d,completed,0.919048,0.8,1,1,1,1,0.7,1.0,1,1,1,1,selected,,,,6511,1259,0.0,2.5828,63.697
CVE-2025-43344,full,22ccda94-6de2-46c2-a041-8fa793cea083,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28430,7405,0.0,12.2315,98.572
CVE-2025-43344,no_rag,84d57da0-4982-4283-9d00-46a629c44268,completed,0.867619,0.93,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18385,8414,0.0,9.7225,92.532
CVE-2025-43344,no_bon,6cfe1df9-182b-4d32-a14e-da05113d4c59,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5685,1309,0.0,2.36,61.903
CVE-2026-47092,full,d60aebea-441e-441a-a5c4-0dbc36c3dc47,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30445,7481,0.0,12.874,95.091
CVE-2026-47092,no_rag,4df1f207-a048-4d3c-8553-efa7e68660d5,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18380,6728,0.0,8.878,80.992
CVE-2026-47092,no_bon,7c869dfc-d5f9-47d4-bb98-d032ad709b8f,completed,0.933333,0.8,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,6089,1965,0.0,2.8092,82.035
CVE-2025-13333,full,77ed2aed-ab42-48c9-8901-1ba4cdf066a7,completed,0.99619,0.98,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30455,5335,0.0,11.804,88.665
CVE-2025-13333,no_rag,024bb43f-b20c-4246-bbc9-d8fc72f38d2e,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18350,11786,0.0,11.398,111.358
CVE-2025-13333,no_bon,4c0d6c04-09b4-42dd-86b6-a88a961f377c,completed,0.939048,0.83,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,6086,987,0.0,2.3193,69.698
CVE-2026-44425,full,d969df85-147c-4e69-9705-273eed954a55,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,34515,6344,0.0,13.5265,88.554
CVE-2026-44425,no_rag,84d1ff23-cf87-41a4-80e2-acfc1d1180a5,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18360,7681,0.0,9.3485,108.245
